Step	Best	Median	Predicted	Progress
411	10.1426	39.8341	-71.5099	0.00425647
412	7.71062	39.6096	-71.5036	0.00425331
413	17.104	36.5414	-71.4319	0.0042517
414	6.30274	37.4777	-71.5096	0.00425756
415	12.3028	39.9746	-71.5214	0.00425928
416	6.96745	34.6869	-71.2348	0.00425078
417	13.8438	36.7315	-71.0436	0.0042398
418	15.4714	34.3407	-70.9775	0.00423105
419	6.60109	33.383	-71.0071	0.00423432
420	8.4709	33.8231	-70.918	0.00423494
421	6.53555	37.1403	-70.894	0.00423914
422	7.42045	37.9601	-70.9573	0.00424356
423	5.544	32.7906	-71.0373	0.00425002
424	8.05936	36.3691	-71.1095	0.00425631
425	6.03331	34.5646	-71.0901	0.00425563
426	9.97197	29.9909	-70.9685	0.00425631
427	16.178	34.8951	-70.8789	0.00425535
428	10.627	32.6414	-70.826	0.00425007
429	6.0354	34.9501	-70.7564	0.00425091
430	6.77539	35.5527	-70.7812	0.00425799
431	7.55975	31.7126	-70.6388	0.00425375
432	7.45215	27.7841	-70.6459	0.00425537
433	9.92789	34.5437	-70.5988	0.00425311
434	7.19281	31.5066	-70.534	0.0042501
435	6.44686	33.5886	-70.5399	0.00425317
436	6.53677	29.2229	-70.5462	0.00425459
437	6.49213	30.0526	-70.4711	0.00425382
438	7.40811	33.7477	-70.3641	0.00425042
439	7.47797	29.4331	-70.1647	0.00424551
440	6.69762	32.4168	-70.1702	0.00424755
441	7.85412	31.8746	-70.0709	0.00424123
442	6.87453	29.7508	-69.9514	0.00423475
443	9.63665	32.8916	-69.9916	0.00424065
444	8.20093	31.4382	-70.0141	0.00424464
445	8.24797	25.475	-69.9549	0.00424088
446	6.45971	30.7538	-69.8007	0.00423287
447	8.27277	28.2894	-69.7778	0.00423536
448	8.04753	28.0167	-69.5982	0.00423063
449	5.89031	30.1921	-69.575	0.0042293
450	8.24912	26.3964	-69.5499	0.00422999
451	6.01598	32.9549	-69.5775	0.00423507
452	7.18163	30.6769	-69.4661	0.0042315
453	8.67502	31.8639	-69.4895	0.00423674
454	6.47403	30.6924	-69.3873	0.00423433
455	7.57386	32.76	-69.2159	0.00423033
456	6.71845	33.8188	-69.2636	0.00423561
457	7.1793	24.7106	-69.2647	0.00423892
